"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"118","IOWA",2003,2941976,1.69953799759073,27.0566449216445,38.4435495055024,210.674730181348,277.874462606085,595.348160556034,2189.00494089687,191.673895368283,2976.02699682118,3253.90145942727
"119","KANSAS",2003,2724786,4.58751623063242,39.8196408818894,82.4651917618484,270.626757477468,397.499106351838,806.41195308549,2916.59601891671,287.435416946505,4010.44338894871,4407.94249530055
"120","KENTUCKY",2003,4118189,4.39513582305232,27.2935506359713,78.2868391907219,138.483202203687,248.458727853433,632.171082968752,1677.50921582278,200.40362402017,2510.0839228117,2758.54265066513
"121","LOUISIANA",2003,4493665,12.9960733610538,35.6279339915192,155.952880332646,432.364228308074,636.941115993293,991.885242891938,2881.18940775514,437.393530670399,4310.46818131748,4947.40929731077
"122","MAINE",2003,1309205,1.2221157114432,27.0393101156809,22.0744650379429,58.2796429894478,108.615533854515,502.518704099052,1836.45800313931,111.212529741332,2450.18923697969,2558.80477083421
"123","MARYLAND",2003,5512310,9.52413779341147,24.6357697589577,241.31443986278,428.005681828489,703.480029243638,700.994682809929,2437.67132109769,660.430926417418,3799.09693032504,4502.57695956867
"124","MASSACHUSETTS",2003,6420357,2.18056410258806,28.7834461541625,124.774993041664,317.396680589568,473.135683887983,544.564733705618,1620.92232565884,397.345505865172,2562.83256522963,3035.96824911761
"125","MICHIGAN",2003,10082364,6.07000501072963,54.2531493606063,111.620647697306,339.345018688078,511.288820756719,677.579186785956,2068.34428909728,532.722286162253,3278.64576204549,3789.93458280221
"126","MINNESOTA",2003,5064172,2.50781371564789,41.3098133317747,77.1300816796902,141.997546686803,262.945255413916,546.940348787521,2294.86676202941,271.495517924747,3113.30262874168,3376.24788415559
"127","MISSISSIPPI",2003,2882594,9.26249065945464,37.4315633765976,104.62798437796,172.552915880627,323.874954294639,1025.60402193302,2369.63651488902,312.080022368741,3707.32055919078,4031.19551348542
